hidden_size,num_layers,learning_rate,batch_size,dropout_rate,gpath,tangles,niareagansc
4,3,0.001,8,0.5,0.14377725435956717,0.19427606452670887,0.14171213357928272
4,3,0.001,8,0.6,0.11820207560336385,0.15297158397024366,0.11344079299944809
4,3,0.001,16,0.2,0.17518840782479903,0.2291451250378082,0.17340626629592706
4,3,0.001,16,0.4,0.17808168644705438,0.23020119542028472,0.17759229532212228
4,3,0.001,16,0.5,0.1242711861411649,0.17530103142995648,0.14381720238606335
4,3,0.001,16,0.6,0.10182017178888988,0.13265000639395744,0.10941921035999455
4,3,0.001,32,0.2,0.16789109978166086,0.23256063987947026,0.17449745011830334
4,3,0.001,32,0.4,0.17933796083199022,0.23514786136784,0.17944527020373843
4,3,0.001,32,0.5,0.1473186897336733,0.20038749128149486,0.14812973772624388
4,3,0.001,32,0.6,0.07735720942830356,0.11021966650985271,0.08794289651740553
4,3,0.005,8,0.2,0.224173503145626,0.2892694545586073,0.22008773409099708
4,3,0.005,8,0.4,0.19572089701343579,0.25212579473732155,0.20283564808248333
4,3,0.005,8,0.5,0.1855140254857795,0.25543745097038645,0.19755934608294293
4,3,0.005,8,0.6,0.19943176118327033,0.26143903890083375,0.20008589438283853
4,3,0.005,16,0.2,0.19668100810395633,0.27836362090564953,0.19758791920401897
4,3,0.005,16,0.4,0.20005718634492106,0.26701390872737535,0.19922125719784117
4,3,0.005,16,0.5,0.1855392172381814,0.26288013696591633,0.19396728957228596
4,3,0.005,16,0.6,0.1433511563703585,0.19678620426397664,0.16334410427533924
4,3,0.005,32,0.2,0.18919452520627608,0.2450518285888806,0.19819669276181648
4,3,0.005,32,0.4,0.20078897644513258,0.2621346479434908,0.20251049427228604
4,3,0.005,32,0.5,0.17915767248906028,0.25382231164370106,0.18686018867314869
4,3,0.005,32,0.6,0.14864220707167913,0.2047928199266867,0.15512032579819646
4,3,0.01,8,0.2,0.21870763971432822,0.26704883851532435,0.2044141906052034
4,3,0.01,8,0.4,0.20886881123286583,0.27150354038834207,0.2064958349483672
4,3,0.01,8,0.5,0.1606755225749344,0.2236913529961023,0.16368698599010115
4,3,0.01,8,0.6,0.1649796511189526,0.2182620490796942,0.16731910830682611
4,3,0.01,16,0.2,0.2187006260801442,0.2942049379035113,0.2156518284037162
4,3,0.01,16,0.4,0.20150842218268256,0.26645773473495865,0.20746259077874343
4,3,0.01,16,0.5,0.20266886077481178,0.27365764298200174,0.1992685319384305
4,3,0.01,16,0.6,0.18025243057747414,0.24223105098890513,0.19827480603338277
4,3,0.01,32,0.2,0.21531707297751462,0.2885548428859658,0.2103638800150896
4,3,0.01,32,0.4,0.17533654813534677,0.23471376835550264,0.16659634365972106
4,3,0.01,32,0.5,0.11865927834604713,0.17567979153883795,0.11673488704319605
4,3,0.01,32,0.6,0.137230541851663,0.1690653434261335,0.14793082235450145
4,4,0.001,8,0.2,0.1759407118925362,0.2439430983572329,0.16864341859878468
4,4,0.001,8,0.4,0.16229803537977341,0.20526578767720927,0.14999802290391132
4,4,0.001,8,0.5,0.08944427928282887,0.11598719765024534,0.08399496436572684
4,4,0.001,8,0.6,0.02854277102363083,0.05298703967259666,0.02556349924782545
4,4,0.001,16,0.2,0.16049360304845697,0.19362007349414959,0.1449827801360896
4,4,0.001,16,0.4,0.10313900864570506,0.11396383107108213,0.08876843484736967
4,4,0.001,16,0.5,0.05561993235113834,0.07781878620371814,0.04377547425814945
4,4,0.001,16,0.6,0.027564830180785732,0.03962937428390544,0.017724058882750658
4,4,0.001,32,0.2,0.1531467795251809,0.17661486226069217,0.1398063572395498
4,4,0.001,32,0.4,0.1062473747750523,0.10385243385251668,0.08982328084036197
4,4,0.001,32,0.5,0.05150288093472707,0.08365946262581683,0.04263920182230844
4,4,0.001,32,0.6,0.02267204186726047,0.03076943948473857,0.008536953505141295
4,4,0.005,8,0.2,0.21481732144002672,0.2868643411442566,0.21409576640253974
4,4,0.005,8,0.4,0.13333106552315194,0.15011719107442145,0.12557803262695397
4,4,0.005,8,0.5,0.1616648577937769,0.20729487891668294,0.15216847842041337
4,4,0.005,8,0.6,0.1583287104031698,0.16221274088233775,0.13858570245985166
4,4,0.005,16,0.2,0.1800159142120697,0.24432939847108287,0.17985391235088533
4,4,0.005,16,0.4,0.1582849200177435,0.206179851584165,0.15342516323782857
4,4,0.005,16,0.5,0.08282681758309782,0.10811193588414111,0.07589410773443232
4,4,0.005,16,0.6,0.07753302675048553,0.10069928886541187,0.06769016452515335
4,4,0.005,32,0.2,0.1808696738440361,0.21712400052814496,0.17463165861920443
4,4,0.005,32,0.4,0.1683118949618903,0.20652819093021493,0.16413444152261164
4,4,0.005,32,0.5,0.1443594369205055,0.17157601567890546,0.13675544777642917
4,4,0.005,32,0.6,0.03570372601570376,0.0356758686800442,0.017687479220569347
4,4,0.01,8,0.2,0.2201780311986429,0.2800865862632259,0.21475426006014015
4,4,0.01,8,0.4,0.2027401158446663,0.2507412653567265,0.19800755207039114
4,4,0.01,8,0.5,0.15579681340729842,0.19644881394636501,0.14522657559247681
4,4,0.01,8,0.6,0.164185333988923,0.2049141228171168,0.15514347125985978
4,4,0.01,16,0.2,0.21657452372608454,0.2848913124260798,0.20561716449197917
4,4,0.01,16,0.4,0.21781837909985619,0.27356184274948225,0.20464345400045758
4,4,0.01,16,0.5,0.15273913236216682,0.2024822490046536,0.16084452842374236
4,4,0.01,16,0.6,0.10729079539730628,0.12248058192788532,0.09897240897915346
4,4,0.01,32,0.2,0.19696435983098803,0.2696769624512207,0.19065285880569538
4,4,0.01,32,0.4,0.1527508631722448,0.194169485438118,0.14768157443933472
4,4,0.01,32,0.5,0.045320461711100664,0.05401073077069394,0.037416465396023765
4,4,0.01,32,0.6,0.07927368125248652,0.07715125305687098,0.0477025954283624
8,1,0.001,8,0.2,0.2040204019945854,0.2897235338738172,0.19545906581854203
8,1,0.001,8,0.4,0.2040204019945854,0.2897235338738172,0.19545906581854203
8,1,0.001,8,0.5,0.2040204019945854,0.2897235338738172,0.19545906581854203
8,1,0.001,8,0.6,0.2040204019945854,0.2897235338738172,0.19545906581854203
8,1,0.001,16,0.2,0.18698427526429717,0.27742555317296913,0.18010399813931188
8,1,0.001,16,0.4,0.18698427526429717,0.27742555317296913,0.18010399813931188
8,1,0.001,16,0.5,0.18698427526429717,0.27742555317296913,0.18010399813931188
8,1,0.001,16,0.6,0.18698427526429717,0.27742555317296913,0.18010399813931188
8,1,0.001,32,0.2,0.16421199879688672,0.25874756481319083,0.17082162327586203
8,1,0.001,32,0.4,0.16421199879688672,0.25874756481319083,0.17082162327586203
8,1,0.001,32,0.5,0.16421199879688672,0.25874756481319083,0.17082162327586203
8,1,0.001,32,0.6,0.16421199879688672,0.25874756481319083,0.17082162327586203
8,1,0.005,8,0.2,0.20931747301960074,0.2915800160073191,0.20907780573376403
8,1,0.005,8,0.4,0.20931747301960074,0.2915800160073191,0.20907780573376403
8,1,0.005,8,0.5,0.20931747301960074,0.2915800160073191,0.20907780573376403
8,1,0.005,8,0.6,0.20931747301960074,0.2915800160073191,0.20907780573376403
8,1,0.005,16,0.2,0.20442191251077743,0.28928991280424904,0.19892665719230518
8,1,0.005,16,0.4,0.20442191251077743,0.28928991280424904,0.19892665719230518
8,1,0.005,16,0.5,0.20442191251077743,0.28928991280424904,0.19892665719230518
8,1,0.005,16,0.6,0.20442191251077743,0.28928991280424904,0.19892665719230518
8,1,0.005,32,0.2,0.1894160324333774,0.27533230911444706,0.18948507636698547
8,1,0.005,32,0.4,0.1894160324333774,0.27533230911444706,0.18948507636698547
8,1,0.005,32,0.5,0.1894160324333774,0.27533230911444706,0.18948507636698547
8,1,0.005,32,0.6,0.1894160324333774,0.27533230911444706,0.18948507636698547
8,1,0.01,8,0.2,0.2172280138664311,0.3134200790277614,0.22116130988741495
8,1,0.01,8,0.4,0.2172280138664311,0.3134200790277614,0.22116130988741495
8,1,0.01,8,0.5,0.2172280138664311,0.3134200790277614,0.22116130988741495
8,1,0.01,8,0.6,0.2172280138664311,0.3134200790277614,0.22116130988741495
8,1,0.01,16,0.2,0.21894959355446061,0.3118849652046786,0.20986689519833068
8,1,0.01,16,0.4,0.21894959355446061,0.3118849652046786,0.20986689519833068
8,1,0.01,16,0.5,0.21894959355446061,0.3118849652046786,0.20986689519833068
8,1,0.01,16,0.6,0.21894959355446061,0.3118849652046786,0.20986689519833068
8,1,0.01,32,0.2,0.20272835882151413,0.30316687448869023,0.2061231955284874
8,1,0.01,32,0.4,0.20272835882151413,0.30316687448869023,0.2061231955284874
8,1,0.01,32,0.5,0.20272835882151413,0.30316687448869023,0.2061231955284874
8,1,0.01,32,0.6,0.20272835882151413,0.30316687448869023,0.2061231955284874
8,2,0.001,8,0.2,0.2374979405068162,0.303323089072918,0.23092197963208205
8,2,0.001,8,0.4,0.23917430366254053,0.3085214035518013,0.21728094889670296
8,2,0.001,8,0.5,0.22963389552149663,0.29861022491345074,0.21541902351665812
8,2,0.001,8,0.6,0.22536777531751637,0.2935958746088806,0.21584020293715298
8,2,0.001,16,0.2,0.234434209763142,0.2989122787863227,0.22733626864676543
8,2,0.001,16,0.4,0.22837496970785728,0.2960617116348606,0.21496188818252793
8,2,0.001,16,0.5,0.2250482665112033,0.2846031708926932,0.21517949469445546
8,2,0.001,16,0.6,0.22426907235158944,0.2817072930891476,0.20555783513634127
8,2,0.001,32,0.2,0.22487797649805708,0.27722324973054374,0.20486188919611462
8,2,0.001,32,0.4,0.22210764685239326,0.26474707158153893,0.20396352055805464
8,2,0.001,32,0.5,0.22153451598491752,0.2737127710192645,0.20257994076165592
8,2,0.001,32,0.6,0.20208886356055875,0.260471352173607,0.19112537782691205
8,2,0.005,8,0.2,0.240149200729799,0.3129402240107743,0.23039142376724162
8,2,0.005,8,0.4,0.22211685434720524,0.3012900230171153,0.22995810989752985
8,2,0.005,8,0.5,0.25907983432242637,0.3169832347504208,0.24572269142812503
8,2,0.005,8,0.6,0.23403991143807534,0.313154549636221,0.2264277283629199
8,2,0.005,16,0.2,0.23077078726500258,0.27232999841344985,0.20740326949686874
8,2,0.005,16,0.4,0.23622745633772707,0.2943223234654258,0.22307308206122775
8,2,0.005,16,0.5,0.23484704994355435,0.3066132689998921,0.22624092708131677
8,2,0.005,16,0.6,0.21985581419651154,0.303972130552145,0.22274108421137936
8,2,0.005,32,0.2,0.23000728926244474,0.2814291927403076,0.21749645642252347
8,2,0.005,32,0.4,0.22249874480762327,0.2880263739751845,0.20944253195929302
8,2,0.005,32,0.5,0.20803289022043386,0.2603823287794021,0.20296796184869553
8,2,0.005,32,0.6,0.22319490585271842,0.2928511855247576,0.2071117271773621
8,2,0.01,8,0.2,0.2309616654811825,0.2917188923613844,0.22517440726142807
8,2,0.01,8,0.4,0.2293419863186965,0.3161128657010412,0.2291018507164333
8,2,0.01,8,0.5,0.23263256912685598,0.31010027995411205,0.23038743335147602
8,2,0.01,8,0.6,0.2238048107192725,0.28663371337560195,0.2200006394276131
8,2,0.01,16,0.2,0.22885837725218786,0.28479617157228126,0.21588031930126247
8,2,0.01,16,0.4,0.2107178305421316,0.2896976414323047,0.19059520082025244
8,2,0.01,16,0.5,0.21911688466111184,0.28340126539712135,0.20884027803325295
8,2,0.01,16,0.6,0.21101857769134055,0.3175056762541657,0.20424765825415053
8,2,0.01,32,0.2,0.23633442588514172,0.31373592646663334,0.2148221521521513
8,2,0.01,32,0.4,0.23314707182862385,0.2812563144329924,0.20129426178466114
8,2,0.01,32,0.5,0.2170506419395947,0.2957113117714228,0.21236042343628644
8,2,0.01,32,0.6,0.20935880594494433,0.2743847706343293,0.19763687549773495
8,3,0.001,8,0.2,0.19516046834062084,0.2660797789563606,0.18940949978164912
8,3,0.001,8,0.4,0.20493540873432775,0.2671837115936383,0.1889500037466146
8,3,0.001,8,0.5,0.19303836529351698,0.235905763529228,0.17753209751095575
8,3,0.001,8,0.6,0.17946432216285885,0.240212022444042,0.17614753263415242
8,3,0.001,16,0.2,0.20653374051239118,0.2785578954216942,0.1949799165939684
8,3,0.001,16,0.4,0.19443228497994253,0.24510385077725708,0.18539356461129802
8,3,0.001,16,0.5,0.18184891536198405,0.23360067288372344,0.17689237783828204
8,3,0.001,16,0.6,0.18851183681622605,0.2412789463787406,0.1868148962060828
8,3,0.001,32,0.2,0.20848709256528758,0.25105589153716174,0.19280406088745897
8,3,0.001,32,0.4,0.20064653433625262,0.24012643809551465,0.1829609396824426
8,3,0.001,32,0.5,0.19274039170983398,0.24450197110520877,0.18124257640574631
8,3,0.001,32,0.6,0.17331478239131654,0.22561329083812315,0.16913541261308623
8,3,0.005,8,0.2,0.19364386644749612,0.2649169116509159,0.19457281611697988
8,3,0.005,8,0.4,0.2211533949603845,0.28961354842251497,0.20090255378010916
8,3,0.005,8,0.5,0.20946189919533847,0.28182733788562875,0.20821178281134983
8,3,0.005,8,0.6,0.19715598471192858,0.253971649396262,0.20232754829609786
8,3,0.005,16,0.2,0.23338491355271168,0.30246168782095995,0.21471344671444767
8,3,0.005,16,0.4,0.21722923393554278,0.29823290595996343,0.21158882503471976
8,3,0.005,16,0.5,0.19412040077751577,0.24862957043831574,0.19520099860637663
8,3,0.005,16,0.6,0.20836174106709304,0.27746673581894316,0.19247160392109192
8,3,0.005,32,0.2,0.2188151184797523,0.29234739408167204,0.20609738803111982
8,3,0.005,32,0.4,0.21083849329056936,0.28355665895603727,0.19335682099416313
8,3,0.005,32,0.5,0.19539588125948315,0.2868958171662896,0.20164264353582734
8,3,0.005,32,0.6,0.1991444925837788,0.25492287608546366,0.17369790520877607
8,3,0.01,8,0.2,0.2352897334354987,0.3241768914292578,0.223863717838364
8,3,0.01,8,0.4,0.2181725824527836,0.27251216766427555,0.20901057654025923
8,3,0.01,8,0.5,0.2100072018409505,0.28401320660613955,0.1969448498738539
8,3,0.01,8,0.6,0.22451337056102844,0.28200199246292174,0.21056529133401264
8,3,0.01,16,0.2,0.2159849392472534,0.3035013589981961,0.2167783143956039
8,3,0.01,16,0.4,0.2244166151387855,0.29446393930883785,0.21201198657048
8,3,0.01,16,0.5,0.211186480287181,0.31418215574942404,0.2105571275362031
8,3,0.01,16,0.6,0.20471724590375856,0.28492110411319993,0.19770142391251022
8,3,0.01,32,0.2,0.20935726878001923,0.2945165230713549,0.1877838120760123
8,3,0.01,32,0.4,0.23401477217805536,0.30440732748572397,0.21323219435847246
8,3,0.01,32,0.5,0.20934056803310436,0.280968079450982,0.19575867174844575
8,3,0.01,32,0.6,0.21569976360970106,0.2706589794765985,0.19735027602501393
8,4,0.001,8,0.2,0.16859840760573194,0.23615305594490796,0.17388254994828373
8,4,0.001,8,0.4,0.12583305517390952,0.16908386992579216,0.13247995042245794
8,4,0.001,8,0.5,0.1381378589459824,0.17478614832190872,0.1392458162686811
8,4,0.001,8,0.6,0.10807741776983404,0.14061413831081687,0.1299777765808634
8,4,0.001,16,0.2,0.17484808406704705,0.22280292781274,0.17799359315714486
8,4,0.001,16,0.4,0.16005992579376271,0.21093324334737132,0.167390833716371
8,4,0.001,16,0.5,0.14456737009335488,0.18491954966035018,0.1516343773823925
8,4,0.001,16,0.6,0.06910108543102637,0.08747135544996455,0.08259418762985547
8,4,0.001,32,0.2,0.1647531050085508,0.22181232341463772,0.16567415168550279
8,4,0.001,32,0.4,0.10786146203084232,0.15141948544880643,0.11257684040786138
8,4,0.001,32,0.5,0.06957953655256496,0.09706572730467251,0.08307352913578417
8,4,0.001,32,0.6,0.04135317763259948,0.06189380894648454,0.06443172608587092
8,4,0.005,8,0.2,0.20493363096443534,0.2817264648743004,0.2190110616814156
8,4,0.005,8,0.4,0.20402834576779885,0.2365324967270544,0.18648296509216217
8,4,0.005,8,0.5,0.21061774997065355,0.26120337950309996,0.19585009011498072
8,4,0.005,8,0.6,0.20920484731620462,0.23870388812270735,0.19194494062024947
8,4,0.005,16,0.2,0.21258206761567316,0.30145441274801454,0.21380725904690992
8,4,0.005,16,0.4,0.18349838672410473,0.24808853600763273,0.1827281833138751
8,4,0.005,16,0.5,0.19439299004151314,0.25795161187244886,0.17896888800212446
8,4,0.005,16,0.6,0.17709891580927567,0.23728276354027336,0.16873243483939837
8,4,0.005,32,0.2,0.19083394976974655,0.2682454514157676,0.18524350494962
8,4,0.005,32,0.4,0.20561013243600246,0.24967503731898705,0.18951220550165923
8,4,0.005,32,0.5,0.19945414654310484,0.23767384391868532,0.19751152646162656
8,4,0.005,32,0.6,0.16731555459211017,0.22648293542233403,0.16090493006309242
8,4,0.01,8,0.2,0.22097979881457447,0.2636401254457299,0.2147823500761051
8,4,0.01,8,0.4,0.23117794045846893,0.2963213416353129,0.2266716378573163
8,4,0.01,8,0.5,0.21045938097470182,0.263384718086766,0.19835992460432095
8,4,0.01,8,0.6,0.1558073575057171,0.2084213580024546,0.15518297258945987
8,4,0.01,16,0.2,0.21481388780651395,0.27589018775339963,0.21921363261346785
8,4,0.01,16,0.4,0.22143248292876766,0.27388178190121343,0.21738078156696497
8,4,0.01,16,0.5,0.2190450194943619,0.25265512816381136,0.20434538394846458
8,4,0.01,16,0.6,0.19036962772433835,0.24093257798433113,0.19241203462216816
8,4,0.01,32,0.2,0.21151505933269502,0.3123627569076035,0.21097266569314277
8,4,0.01,32,0.4,0.22219364903994293,0.2726150997721127,0.21114114961447766
8,4,0.01,32,0.5,0.20941192589812205,0.2638215673305761,0.20417179696177196
8,4,0.01,32,0.6,0.19212068546314773,0.23955442049353812,0.18801198670721714
16,1,0.001,8,0.2,0.20015291075813338,0.28842899459644183,0.1913351508199214
16,1,0.001,8,0.4,0.20015291075813338,0.28842899459644183,0.1913351508199214
16,1,0.001,8,0.5,0.20015291075813338,0.28842899459644183,0.1913351508199214
16,1,0.001,8,0.6,0.20015291075813338,0.28842899459644183,0.1913351508199214
16,1,0.001,16,0.2,0.18414047659292737,0.28097539474966116,0.17818802465663247
16,1,0.001,16,0.4,0.18414047659292737,0.28097539474966116,0.17818802465663247
16,1,0.001,16,0.5,0.18414047659292737,0.28097539474966116,0.17818802465663247
16,1,0.001,16,0.6,0.18414047659292737,0.28097539474966116,0.17818802465663247
16,1,0.001,32,0.2,0.17058443627123893,0.2551085839768358,0.16561213058866017
16,1,0.001,32,0.4,0.17058443627123893,0.2551085839768358,0.16561213058866017
16,1,0.001,32,0.5,0.17058443627123893,0.2551085839768358,0.16561213058866017
16,1,0.001,32,0.6,0.17058443627123893,0.2551085839768358,0.16561213058866017
16,1,0.005,8,0.2,0.21442573747102217,0.3087960295284823,0.20639374047958156
